Filename, Date modified, File type
"/library/resources/forum.doc", 2004 May 27, DOC
"/library/resources/intranet.css", 2005 Feb 17, CSS
"/library/resources/nyuicon.jpg", 2003 Jul 29, JPG
"/library/resources/.htaccess", 2007 Jul 23, HTACCESS
"/library/resources/periodicals/.htaccess", 2007 Jul 23, HTACCESS
"/library/resources/periodicals/index.html", 2004 May 18, HTML
"/library/resources/stacks/index.html", 2003 Oct 29, HTML
"/library/resources/stacks/.htaccess", 2007 Jul 23, HTACCESS
"/library/resources/news/food_drive.html", 2004 Dec 14, HTML
"/library/resources/news/outages.html", 2003 Dec 22, HTML
"/library/resources/news/template.html", 2003 Dec 1, HTML
"/library/resources/laptop.htm", 2004 Apr 1, HTM
"/library/resources/microform.html", 2003 Aug 8, HTML
"/library/resources/factbook/index.html", 2004 Jun 29, HTML
"/library/resources/factbook/index.html~", 2004 Mar 22, HTML~
"/library/resources/factbook/style3a.css", 2003 Jun 18, CSS
"/library/resources/factbook/keys.pdf", 2003 Nov 24, PDF
"/library/resources/factbook/Report16.html", 2004 Jan 23, HTML
"/library/resources/factbook/Report12.html", 2004 Jan 23, HTML
"/library/resources/factbook/Report13.html", 2004 Jan 23, HTML
"/library/resources/factbook/style2a.css", 2004 Feb 9, CSS
"/library/resources/factbook/Report15.html", 2004 Jan 23, HTML
"/library/resources/factbook/Report11.html", 2004 Jan 23, HTML
"/library/resources/factbook/style2b.css", 2004 Feb 9, CSS
"/library/resources/factbook/index_new.html", 2003 Jun 18, HTML
"/library/resources/factbook/headings.html", 2004 Jun 29, HTML
"/library/resources/factbook/Report14.html", 2004 Jan 23, HTML
"/library/resources/videos/callnoMed.flv", 2007 Nov 12, FLV
"/library/resources/videos/banner2.gif", 2007 Oct 23, GIF
"/library/resources/videos/external.fla", 2007 Oct 23, FLA
"/library/resources/videos/maryjean_latest_old.swf", 2008 Feb 28, SWF
"/library/resources/videos/test.swf", 2007 Nov 19, SWF
"/library/resources/videos/external.html", 2007 Oct 23, HTML
"/library/resources/videos/SteelExternalNoVol.swf", 2007 Nov 20, SWF
"/library/resources/videos/teaching_library/fulltext.flv", 2008 Feb 22, FLV
"/library/resources/videos/teaching_library/callnoLar.flv", 2008 Feb 22, FLV
"/library/resources/videos/teaching_library/videos.xml", 2008 Feb 22, XML
"/library/resources/videos/teaching_library/teachinglib.html", 2008 Feb 22, HTML
"/library/resources/videos/teaching_library/LCSHsizetest.flv", 2008 Feb 22, FLV
"/library/resources/videos/teaching_library/teachinglib.swf", 2008 Feb 22, SWF
"/library/resources/videos/SFXMed.flv", 2007 Oct 23, FLV
"/library/resources/videos/index.html", 2007 Oct 23, HTML
"/library/resources/videos/maryjean_latest.swf", 2008 Feb 29, SWF
"/library/resources/videos/LCSHmed.swf", 2008 Feb 5, SWF
"/library/resources/videos/external.swf", 2007 Oct 23, SWF
"/library/resources/videos/FindFullTextLg_Prog001.flv", 2007 Oct 23, FLV
"/library/resources/videos/callno.swf", 2007 Nov 19, SWF
"/library/resources/videos/LCSH2Med_prog001.flv", 2008 Feb 5, FLV
"/library/resources/videos/MojaveExternalPlaySeekMute.swf", 2007 Oct 25, SWF
"/library/resources/usability/testing3a.htm", 2003 Aug 8, HTM
"/library/resources/usability/testing1.htm", 2003 Aug 8, HTM
"/library/resources/usability/testing1b.htm", 2004 Feb 11, HTM
"/library/resources/usability/index.htm", 2004 May 13, HTM
"/library/resources/usability/2004_comments.doc", 2004 May 5, DOC
"/library/resources/usability/testing4b.htm", 2004 May 13, HTM
"/library/resources/usability/testing2a.htm", 2003 Aug 8, HTM
"/library/resources/usability/testing2b.htm", 2003 Aug 8, HTM
"/library/resources/usability/testing3.htm", 2003 Aug 8, HTM
"/library/resources/usability/recommendations2004.doc", 2004 May 5, DOC
"/library/resources/usability/articlestyle.css", 2003 Aug 8, CSS
"/library/resources/usability/testing1a.htm", 2003 Aug 8, HTM
"/library/resources/usability/testing3b.htm", 2003 Aug 19, HTM
"/library/resources/usability/testing2.htm", 2003 Aug 8, HTM
"/library/resources/usability/usable.htm", 2003 Aug 19, HTM
"/library/resources/reserving_rooms.pdf", 2006 Jan 18, PDF
"/library/resources/wiki.jpg", 2006 Nov 8, JPG
"/library/resources/filterlevel.gif", 2003 Nov 21, GIF
"/library/resources/microform/index.html.old", 2004 May 18, OLD
"/library/resources/microform/.htaccess", 2007 Jul 23, HTACCESS
"/library/resources/microform/index.html", 2004 Sep 3, HTML
"/library/resources/microform/infodesk04.doc", 2004 Jan 22, DOC
"/library/resources/crosstraining/psychology.doc", 2005 Aug 8, DOC
"/library/resources/crosstraining/slavic.doc", 2004 Dec 17, DOC
"/library/resources/crosstraining/middleEastStudies.ppt", 2005 Nov 2, PPT
"/library/resources/crosstraining/Women's_Studies.doc", 2004 Dec 8, DOC
"/library/resources/crosstraining/africana.doc", 2004 Dec 13, DOC
"/library/resources/crosstraining/Gender_Studies.doc", 2004 Dec 8, DOC
"/library/resources/crosstraining/classics.doc", 2004 Dec 13, DOC
"/library/resources/crosstraining/Anthropology.doc", 2004 Dec 8, DOC
"/library/resources/crosstraining/music.doc", 2005 Jan 31, DOC
"/library/resources/crosstraining/education.doc", 2004 Dec 13, DOC
"/library/resources/crosstraining/Biography_Database_Handout.doc", 2005 Mar 11, DOC
"/library/resources/crosstraining/Sociology.doc", 2004 Dec 8, DOC
"/library/resources/css/intranet.css", 2005 Sep 26, CSS
"/library/resources/toolkit/images/.DS_Store", 2004 Jul 21, DS_STORE
"/library/resources/survey/architecture.html", 2003 Aug 13, HTML
"/library/resources/survey/current.gif", 2003 Apr 22, GIF
"/library/resources/survey/bobbldg.jpg", 1999 May 3, JPG
"/library/resources/survey/survey.css", 2003 Apr 26, CSS
