Filename, Date modified, File type
"/about/about.html", 2008 Dec 3, HTML
"/about/bobstmap.html", 2007 Jul 9, HTML
"/about/code.html", 2011 Jun 3, HTML
"/about/columbia.html", 2011 Mar 18, HTML
"/about/columbia_policy.html", 2007 Nov 30, HTML
"/about/confidentiality.html", 2007 May 24, HTML
"/about/department.pdf", 2007 Apr 24, PDF
"/about/dept_visitors.html", 2009 Jul 22, HTML
"/about/friends.html", 2008 Sep 5, HTML
"/about/friendsbrochure.pdf", 2007 Apr 24, PDF
"/about/gallery.html", 2007 Jun 1, HTML
"/about/giving.html", 2008 Sep 5, HTML
"/about/ifa.html", 2007 May 24, HTML
"/about/KPLReport.pdf", 2007 Apr 24, PDF
"/about/metro.html", 2010 Oct 4, HTML
"/about/missionstatement.html", 2007 May 24, HTML
"/about/exhibits.html", 2007 Jun 14, HTML
"/about/shares.html", 2007 May 24, HTML
"/about/friendsbrochure06.pdf", 2008 May 29, PDF
"/about/access_grid.html", 2009 Apr 10, HTML
"/about/statsheet/stat_sum_07-08.pdf", 2009 Jun 4, PDF
"/about/statsheet/stat_sum_08-09.pdf", 2010 May 21, PDF
"/about/Attendance", 2008 Mar 25, 
"/about/graduate-announcement.html", 2009 May 21, HTML
"/about/Strategic_Plan.pdf", 2010 May 7, PDF
"/about/zz_access.html", 2010 Feb 4, HTML
"/about/Video_Use_in_Higher_Education.pdf", 2009 Aug 7, PDF
"/about/dean.html", 2010 Aug 2, HTML
"/about/tabt.html", 2011 Apr 8, HTML
"/about/postercompetition.html", 2010 Sep 9, HTML
"/afc/resinfo.html", 2008 Jan 4, HTML
"/afc/staff.html", 2011 May 17, HTML
"/afc/afc_forms.html", 2011 May 27, HTML
"/afc/afc_name.html", 2008 Sep 5, HTML
"/afc/Avery_Fisher.jpg", 2008 Jan 7, JPG
"/afc/wmv.html", 2009 Aug 5, HTML
"/alumni/css/footer.css", 2007 May 24, CSS
"/alumni/css/style.css", 2011 Apr 1, CSS
"/alumni/css/top.css", 2009 Feb 23, CSS
"/alumni/css/public/public.css", 2011 Apr 1, CSS
"/alumni/css/public/public.txt", 2011 Apr 1, TXT
"/alumni/eaccess.html", 2007 Sep 27, HTML
"/alumni/images/alumni_button.gif", 2007 Apr 24, GIF
"/alumni/images/alumni_services_banner.jpg", 2009 Feb 23, JPG
"/alumni/images/background_top.jpg", 2007 Apr 24, JPG
"/alumni/images/banner.jpg", 2009 Feb 23, JPG
"/alumni/images/help_background.gif", 2007 Apr 24, GIF
"/alumni/images/left_arch_photo.jpg", 2007 Apr 24, JPG
"/alumni/images/nyu_libraries_banner.jpg", 2009 Feb 23, JPG
"/alumni/images/register_button.jpg", 2007 Apr 24, JPG
"/alumni/images/required.jpg", 2007 Apr 24, JPG
"/alumni/images/submit_button.jpg", 2007 Apr 24, JPG
"/alumni/images/welcome.jpg", 2007 Apr 24, JPG
"/alumni/images/FOB_giving_v5.pdf", 2009 Feb 23, PDF
"/alumni/images/favicon.ico", 2007 Aug 29, ICO
"/alumni/images/joinnow.gif", 2007 Sep 19, GIF
"/alumni/images/give_now_large.png", 2009 Feb 23, PNG
"/alumni/images/mail_list_large.png", 2009 Feb 23, PNG
"/alumni/images/alumni_signup_bg.gif", 2009 Nov 23, GIF
"/alumni/images/alumni_signup_joinbg.gif", 2009 Nov 23, GIF
"/alumni/images/alumni_signup_text.gif", 2009 Nov 23, GIF
"/alumni/includes/footer.html", 2009 Feb 23, HTML
"/alumni/includes/header.html", 2009 Nov 23, HTML
"/alumni/includes/registernow.html", 2007 Sep 19, HTML
"/alumni/register.html", 2009 Feb 23, HTML
"/alumni/troubleshooting.html", 2007 Aug 29, HTML
"/alumni/lib/eresourceform.html", 2009 Feb 23, HTML
"/alumni/lib/access.php", 2009 Feb 23, PHP
"/alumni/lib/eresourcelist.html", 2009 Feb 23, HTML
"/alumni/lib/eresources.php", 2009 Feb 23, PHP
"/alumni/lib/redirect.php", 2009 Feb 23, PHP
"/alumni/lib/setcookie.php", 2009 Feb 23, PHP
"/alumni/faq.html", 2009 Feb 23, HTML
"/alumni/access-information.html", 2009 May 11, HTML
"/arch/media.html", 2008 Jul 31, HTML
"/arch/instruction.html", 2010 Jan 15, HTML
"/arch/comments.html", 2009 Jul 22, HTML
"/arch/arch.jpg", 2009 Sep 24, JPG
"/arch/2.jpg", 2009 Oct 12, JPG
"/arch/article.jpg", 2009 Oct 12, JPG
"/arch/facets.jpg", 2009 Oct 12, JPG
"/arch/e-shelf.jpg", 2009 Oct 16, JPG
"/arch/general.jpg", 2009 Oct 16, JPG
"/arch/general2.jpg", 2009 Oct 16, JPG
"/arch/pro.jpg", 2009 Oct 16, JPG
"/arch/save.jpg", 2009 Nov 2, JPG
"/arch/save2.jpg", 2009 Nov 2, JPG
"/ask/askaimpolicy.html", 2010 May 13, HTML
"/ask/images/refdesk_image.gif", 2010 Aug 11, GIF
"/ask/images/IM_image.gif", 2010 May 21, GIF
"/ask/images/call_image.gif", 2010 May 21, GIF
"/ask/images/email_image.gif", 2010 May 21, GIF
"/ask/images/meet_image.gif", 2010 May 21, GIF
"/ask/images/text_image.gif", 2010 May 21, GIF
"/ask/aal.css", 2010 Aug 11, CSS
"/ask/blackboard.html", 2010 Aug 11, HTML
